Date,Cryptomonnaie,PrixOuverture,PrixCloture,Volume
2023-01-15,Litecoin,37281.45,5826.04,5827.95
2023-01-16,Bitcoin,9735.95,37480.92,2561.2
2023-01-16,Ethereum,59324.43,33388.49,9502.9
2023-01-16,Ripple,28418.98,36304.47,5447.94
2023-01-16,Litecoin,25650.68,58087.74,7782.03
2023-01-17,Bitcoin,46960.98,34312.56,1929.55
2023-01-17,Ethereum,21549.27,58063.11,3108.61
2023-01-17,Ripple,40465.73,47263.73,9976.07
2023-01-17,Litecoin,18939.73,54218.96,5162.5
2023-01-18,Bitcoin,58855.76,13071.58,4944.01
2023-01-18,Ethereum,54471.83,6785.18,2795.77
2023-01-18,Ripple,50637.7,32208.57,8034.49
2023-01-18,Litecoin,34496.04,12388.47,5198.86
2023-01-19,Bitcoin,11473.25,38826.22,7262.63
2023-01-19,Ethereum,29433.6,57041.15,4201.12
2023-01-19,Ripple,46716.79,47741.47,6557.33
2023-01-19,Litecoin,12844.33,12659.17,8528.5
2023-01-20,Bitcoin,58800.68,21561.02,9949.24
2023-01-20,Ethereum,23373.93,40138.98,8791.72
2023-01-20,Ripple,25626.66,32936.36,2543.88
2023-01-20,Litecoin,46651.97,42438.42,8799.68
2023-01-21,Bitcoin,34615.18,11466.18,8589.22
2023-01-21,Ethereum,26507.83,33796.82,2366.88
2023-01-21,Ripple,9797.07,15987.98,8508.42
2023-01-21,Litecoin,49683.67,11193.72,4986.03
2023-01-22,Bitcoin,13985.38,7005.45,4565.93
2023-01-22,Ethereum,42442.89,47907.82,9210.22
2023-01-22,Ripple,22147.92,10104.73,7480.22
2023-01-22,Litecoin,13337.32,21234.11,4352.99
2023-01-23,Bitcoin,22526.81,6464.19,8821.27
2023-01-23,Ethereum,6766.74,12700.93,9789.3
2023-01-23,Ripple,11791.07,52310.16,6310.24
2023-01-23,Litecoin,47519.45,58509.23,5546.45
2023-01-24,Bitcoin,23380.78,18926.04,7228.01
2023-01-24,Ethereum,22955.94,49299.25,5758.13
2023-01-24,Ripple,35580.75,45237.18,8771.95
2023-01-24,Litecoin,22696.21,52000.84,1333.38
2023-01-25,Bitcoin,38384.22,15504.05,1932.02
2023-01-25,Ethereum,52472.94,33353.0,4765.21
2023-01-25,Ripple,52426.68,59294.89,3911.8
2023-01-25,Litecoin,18618.8,32883.46,3341.41
