Date,Cryptomonnaie,PrixOuverture,PrixCloture,Volume
2023-02-28,Litecoin,17552.31,36709.05,1184.38
2023-03-01,Bitcoin,17597.87,54689.25,1891.5
2023-03-01,Ethereum,22766.3,33888.1,9975.81
2023-03-01,Ripple,35856.46,13461.41,2886.31
2023-03-01,Litecoin,6655.75,42434.12,1292.12
2023-03-02,Bitcoin,54803.75,53121.07,2148.93
2023-03-02,Ethereum,51028.28,49991.61,2770.65
2023-03-02,Ripple,51638.32,45524.86,5681.34
2023-03-02,Litecoin,22057.05,41965.61,9514.51
2023-03-03,Bitcoin,23569.02,53671.78,1620.47
2023-03-03,Ethereum,53635.07,39187.9,6244.3
2023-03-03,Ripple,26121.97,37575.74,8714.3
2023-03-03,Litecoin,46869.41,33940.61,8204.24
2023-03-04,Bitcoin,57656.63,52454.66,9401.94
2023-03-04,Ethereum,18444.9,45233.79,4217.79
2023-03-04,Ripple,11375.57,57244.36,9068.61
2023-03-04,Litecoin,15627.7,12173.46,9970.02
2023-03-05,Bitcoin,23619.04,59605.71,7996.52
2023-03-05,Ethereum,19998.08,53413.3,8259.27
2023-03-05,Ripple,26207.49,16140.67,7283.48
2023-03-05,Litecoin,18130.37,44803.14,9453.77
2023-03-06,Bitcoin,34839.63,54441.69,9290.5
2023-03-06,Ethereum,47963.21,25402.71,4977.95
2023-03-06,Ripple,11328.52,56514.5,1702.74
2023-03-06,Litecoin,53860.64,34650.04,5909.65
2023-03-07,Bitcoin,56224.63,35792.52,7012.15
2023-03-07,Ethereum,6819.88,5255.11,4824.04
2023-03-07,Ripple,17524.38,25970.64,9406.01
2023-03-07,Litecoin,34529.09,43089.74,9120.52
2023-03-08,Bitcoin,37870.98,30196.57,8311.19
2023-03-08,Ethereum,27761.79,14963.69,2985.85
2023-03-08,Ripple,36035.26,14082.41,8485.63
2023-03-08,Litecoin,46205.97,46232.58,3845.46
2023-03-09,Bitcoin,27149.52,49254.53,8953.88
2023-03-09,Ethereum,8052.67,28181.26,4915.01
2023-03-09,Ripple,57931.27,23528.04,6652.17
2023-03-09,Litecoin,38123.33,59288.95,6147.78
2023-03-10,Bitcoin,57922.98,28553.64,7491.67
2023-03-10,Ethereum,26167.66,17438.92,8646.45
2023-03-10,Ripple,44738.0,13182.68,5980.65
2023-03-10,Litecoin,57389.32,31706.21,8404.09
2023-03-11,Bitcoin,49598.26,39281.41,6572.33
2023-03-11,Ethereum,21235.06,53702.43,5960.82
2023-03-11,Ripple,32085.76,32171.22,1124.55
2023-03-11,Litecoin,7459.87,38819.19,1832.09
2023-03-12,Bitcoin,17380.83,17246.18,3204.57
2023-03-12,Ethereum,8835.94,59449.62,2418.47
2023-03-12,Ripple,57286.14,18274.41,7237.05
2023-03-12,Litecoin,14799.09,33994.59,6973.46
2023-03-13,Bitcoin,41617.6,54594.82,1321.97
2023-03-13,Ethereum,10479.09,34183.54,3696.31
2023-03-13,Ripple,53323.47,8329.18,4808.19
2023-03-13,Litecoin,37456.57,59568.04,6831.16
2023-03-14,Bitcoin,53282.23,27409.97,6278.82
2023-03-14,Ethereum,59028.15,7547.08,4079.73
2023-03-14,Ripple,43056.15,44108.18,4699.23
2023-03-14,Litecoin,45537.43,27223.46,9356.7
2023-03-15,Bitcoin,9473.44,21973.45,5675.14
2023-03-15,Ethereum,53024.55,12600.28,1827.65
2023-03-15,Ripple,49459.94,17894.81,5899.48
2023-03-15,Litecoin,35297.09,35070.72,2232.65
2023-03-16,Bitcoin,30443.8,18940.32,3972.04
2023-03-16,Ethereum,51403.81,31252.05,4745.97
2023-03-16,Ripple,44030.61,43643.74,5447.82
2023-03-16,Litecoin,34269.9,31952.44,4247.8
